fname,method,aopc
IM-0001-0001,gradcam,0.1887
IM-0001-0001,shap,0.2966
IM-0003-0001,gradcam,0.1377
IM-0003-0001,shap,0.285
IM-0005-0001,gradcam,0.1595
IM-0005-0001,shap,0.1837
IM-0006-0001,gradcam,0.1773
IM-0006-0001,shap,0.2037
IM-0007-0001,gradcam,0.166
IM-0007-0001,shap,0.3599
IM-0009-0001,gradcam,0.1042
IM-0009-0001,shap,0.1684
IM-0010-0001,gradcam,0.1126
IM-0010-0001,shap,0.1899
IM-0011-0001-0001,gradcam,0.194
IM-0011-0001-0001,shap,0.2956
IM-0011-0001-0002,gradcam,0.1795
IM-0011-0001-0002,shap,0.1773
IM-0011-0001,gradcam,0.2557
IM-0011-0001,shap,0.4167
IM-0013-0001,gradcam,0.1905
IM-0013-0001,shap,0.267
IM-0015-0001,gradcam,0.1668
IM-0015-0001,shap,0.2278
IM-0016-0001,gradcam,0.1378
IM-0016-0001,shap,0.2651
IM-0017-0001,gradcam,0.1344
IM-0017-0001,shap,0.2092
IM-0019-0001,gradcam,0.1211
IM-0019-0001,shap,0.185
IM-0021-0001,gradcam,0.1511
IM-0021-0001,shap,0.2166
IM-0022-0001,gradcam,0.0924
IM-0022-0001,shap,0.1827
IM-0023-0001,gradcam,0.1809
IM-0023-0001,shap,0.2907
IM-0025-0001,gradcam,0.0793
IM-0025-0001,shap,0.1238
IM-0027-0001,gradcam,0.1314
IM-0027-0001,shap,0.24
IM-0028-0001,gradcam,0.1001
IM-0028-0001,shap,0.168
IM-0029-0001,gradcam,0.0693
IM-0029-0001,shap,0.1885
IM-0030-0001,gradcam,0.1675
IM-0030-0001,shap,0.3968
IM-0031-0001,gradcam,0.2267
IM-0031-0001,shap,0.2091
IM-0033-0001-0001,gradcam,0.1697
IM-0033-0001-0001,shap,0.2695
IM-0033-0001-0002,gradcam,0.1631
IM-0033-0001-0002,shap,0.2818
IM-0033-0001,gradcam,0.1912
IM-0033-0001,shap,0.3202
IM-0035-0001,gradcam,0.102
IM-0035-0001,shap,0.2262
IM-0036-0001,gradcam,0.1443
IM-0036-0001,shap,0.3069
IM-0037-0001,gradcam,0.2128
IM-0037-0001,shap,0.3064
IM-0039-0001,gradcam,0.1952
IM-0039-0001,shap,0.1964
IM-0041-0001,gradcam,0.0947
IM-0041-0001,shap,0.3349
IM-0043-0001,gradcam,0.0767
IM-0043-0001,shap,0.1932
IM-0045-0001,gradcam,0.129
IM-0045-0001,shap,0.1778
IM-0046-0001,gradcam,0.1704
IM-0046-0001,shap,0.2104
IM-0049-0001,gradcam,0.2482
IM-0049-0001,shap,0.3459
IM-0050-0001,gradcam,-0.0344
IM-0050-0001,shap,0.1856
IM-0059-0001,gradcam,0.1068
IM-0059-0001,shap,0.2318
IM-0061-0001,gradcam,0.1643
IM-0061-0001,shap,0.1688
IM-0063-0001,gradcam,0.1106
IM-0063-0001,shap,0.3178
IM-0065-0001,gradcam,0.139
IM-0065-0001,shap,0.2297
IM-0067-0001,gradcam,0.207
IM-0067-0001,shap,0.2338
IM-0069-0001,gradcam,0.1019
IM-0069-0001,shap,0.1983
IM-0070-0001,gradcam,0.1359
IM-0070-0001,shap,0.4025
IM-0071-0001,gradcam,0.199
IM-0071-0001,shap,0.1933
IM-0073-0001,gradcam,0.0774
IM-0073-0001,shap,0.1797
IM-0075-0001,gradcam,0.1585
IM-0075-0001,shap,0.266
IM-0077-0001,gradcam,0.1348
IM-0077-0001,shap,0.3039
IM-0079-0001,gradcam,0.1288
IM-0079-0001,shap,0.2147
IM-0081-0001,gradcam,0.1224
IM-0081-0001,shap,0.2306
IM-0083-0001,gradcam,0.0856
IM-0083-0001,shap,0.2107
IM-0084-0001,gradcam,0.1689
IM-0084-0001,shap,0.24
IM-0085-0001,gradcam,0.1919
IM-0085-0001,shap,0.3363
IM-0086-0001,gradcam,0.1895
IM-0086-0001,shap,0.3038
IM-0087-0001,gradcam,0.1351
IM-0087-0001,shap,0.2655
IM-0089-0001,gradcam,0.2644
IM-0089-0001,shap,0.2294
IM-0091-0001,gradcam,0.1937
IM-0091-0001,shap,0.2733
IM-0093-0001,gradcam,0.0989
IM-0093-0001,shap,0.1673
IM-0095-0001,gradcam,0.1634
IM-0095-0001,shap,0.1568
IM-0097-0001,gradcam,0.1014
IM-0097-0001,shap,0.1679
IM-0099-0001,gradcam,0.1835
IM-0099-0001,shap,0.1969
IM-0101-0001,gradcam,0.1002
IM-0101-0001,shap,0.2007
IM-0102-0001,gradcam,0.1209
IM-0102-0001,shap,0.3928
IM-0103-0001,gradcam,0.1337
IM-0103-0001,shap,0.1974
IM-0105-0001,gradcam,0.1332
IM-0105-0001,shap,0.2354
IM-0107-0001,gradcam,0.1665
IM-0107-0001,shap,0.2957
IM-0109-0001,gradcam,0.1312
IM-0109-0001,shap,0.2666
IM-0110-0001,gradcam,0.1432
IM-0110-0001,shap,0.3027
IM-0111-0001,gradcam,0.1645
IM-0111-0001,shap,0.2763
NORMAL2-IM-0007-0001,gradcam,0.1797
NORMAL2-IM-0007-0001,shap,0.3269
NORMAL2-IM-0012-0001,gradcam,0.1807
NORMAL2-IM-0012-0001,shap,0.3138
NORMAL2-IM-0013-0001,gradcam,0.1535
NORMAL2-IM-0013-0001,shap,0.2124
NORMAL2-IM-0019-0001,gradcam,0.1573
NORMAL2-IM-0019-0001,shap,0.3482
NORMAL2-IM-0023-0001,gradcam,0.1274
NORMAL2-IM-0023-0001,shap,0.303
NORMAL2-IM-0027-0001,gradcam,0.1643
NORMAL2-IM-0027-0001,shap,0.3087
NORMAL2-IM-0028-0001,gradcam,0.1603
NORMAL2-IM-0028-0001,shap,0.2671
NORMAL2-IM-0029-0001,gradcam,0.2036
NORMAL2-IM-0029-0001,shap,0.3579
NORMAL2-IM-0030-0001,gradcam,0.1155
NORMAL2-IM-0030-0001,shap,0.296
NORMAL2-IM-0033-0001,gradcam,0.1266
NORMAL2-IM-0033-0001,shap,0.2203
NORMAL2-IM-0035-0001,gradcam,0.084
NORMAL2-IM-0035-0001,shap,0.1775
NORMAL2-IM-0041-0001,gradcam,0.1024
NORMAL2-IM-0041-0001,shap,0.2164
NORMAL2-IM-0045-0001,gradcam,0.196
NORMAL2-IM-0045-0001,shap,0.1964
NORMAL2-IM-0051-0001,gradcam,0.1329
NORMAL2-IM-0051-0001,shap,0.2567
NORMAL2-IM-0052-0001,gradcam,0.1381
NORMAL2-IM-0052-0001,shap,0.368
NORMAL2-IM-0058-0001,gradcam,0.1276
NORMAL2-IM-0058-0001,shap,0.2671
NORMAL2-IM-0059-0001,gradcam,0.2006
NORMAL2-IM-0059-0001,shap,0.3112
NORMAL2-IM-0060-0001,gradcam,0.1262
NORMAL2-IM-0060-0001,shap,0.2701
NORMAL2-IM-0066-0001,gradcam,0.1509
NORMAL2-IM-0066-0001,shap,0.3009
NORMAL2-IM-0072-0001,gradcam,0.2211
NORMAL2-IM-0072-0001,shap,0.2388
NORMAL2-IM-0073-0001,gradcam,0.1449
NORMAL2-IM-0073-0001,shap,0.2482
NORMAL2-IM-0079-0001,gradcam,0.064
NORMAL2-IM-0079-0001,shap,0.1962
NORMAL2-IM-0081-0001,gradcam,0.1366
NORMAL2-IM-0081-0001,shap,0.3018
NORMAL2-IM-0086-0001,gradcam,0.2194
NORMAL2-IM-0086-0001,shap,0.2198
NORMAL2-IM-0092-0001,gradcam,0.1831
NORMAL2-IM-0092-0001,shap,0.2804
NORMAL2-IM-0095-0001,gradcam,0.0747
NORMAL2-IM-0095-0001,shap,0.2606
NORMAL2-IM-0096-0001,gradcam,0.0747
NORMAL2-IM-0096-0001,shap,0.2611
NORMAL2-IM-0098-0001,gradcam,0.0535
NORMAL2-IM-0098-0001,shap,0.2863
NORMAL2-IM-0102-0001,gradcam,0.1694
NORMAL2-IM-0102-0001,shap,0.3516
NORMAL2-IM-0105-0001,gradcam,0.1334
NORMAL2-IM-0105-0001,shap,0.3113
NORMAL2-IM-0107-0001,gradcam,0.118
NORMAL2-IM-0107-0001,shap,0.3648
NORMAL2-IM-0110-0001,gradcam,0.1284
NORMAL2-IM-0110-0001,shap,0.2591
NORMAL2-IM-0111-0001,gradcam,0.1149
NORMAL2-IM-0111-0001,shap,0.2425
NORMAL2-IM-0112-0001,gradcam,0.0967
NORMAL2-IM-0112-0001,shap,0.2602
NORMAL2-IM-0117-0001,gradcam,0.1268
NORMAL2-IM-0117-0001,shap,0.1842
NORMAL2-IM-0120-0001,gradcam,0.1674
NORMAL2-IM-0120-0001,shap,0.3342
NORMAL2-IM-0123-0001,gradcam,0.0801
NORMAL2-IM-0123-0001,shap,0.2016
NORMAL2-IM-0129-0001,gradcam,0.1537
NORMAL2-IM-0129-0001,shap,0.235
NORMAL2-IM-0130-0001,gradcam,0.199
NORMAL2-IM-0130-0001,shap,0.2806
NORMAL2-IM-0131-0001,gradcam,0.1356
NORMAL2-IM-0131-0001,shap,0.2386
NORMAL2-IM-0132-0001,gradcam,0.1429
NORMAL2-IM-0132-0001,shap,0.2216
NORMAL2-IM-0135-0001,gradcam,0.1218
NORMAL2-IM-0135-0001,shap,0.1864
NORMAL2-IM-0139-0001,gradcam,0.1428
NORMAL2-IM-0139-0001,shap,0.2183
NORMAL2-IM-0141-0001,gradcam,0.1697
NORMAL2-IM-0141-0001,shap,0.2777
NORMAL2-IM-0145-0001,gradcam,0.2121
NORMAL2-IM-0145-0001,shap,0.2507
NORMAL2-IM-0146-0001,gradcam,0.1059
NORMAL2-IM-0146-0001,shap,0.2145
NORMAL2-IM-0150-0001,gradcam,0.2188
NORMAL2-IM-0150-0001,shap,0.2912
NORMAL2-IM-0171-0001,gradcam,0.0977
NORMAL2-IM-0171-0001,shap,0.1783
NORMAL2-IM-0173-0001-0001,gradcam,0.1106
NORMAL2-IM-0173-0001-0001,shap,0.341
NORMAL2-IM-0173-0001-0002,gradcam,0.1106
