fname,label,orig_conf,masked_conf,drop,spurious
IM-0001-0001,0,0.7746,0.6809,0.0937,False
IM-0003-0001,0,0.6896,0.5961,0.0935,False
IM-0005-0001,0,0.7168,0.6489,0.0678,False
IM-0006-0001,0,0.716,0.4784,0.2376,False
IM-0007-0001,0,0.835,0.7931,0.0419,False
IM-0009-0001,0,0.7044,0.6369,0.0675,False
IM-0010-0001,0,0.6839,0.7,-0.016,True
IM-0011-0001-0001,0,0.7547,0.6713,0.0833,False
IM-0011-0001-0002,0,0.6833,0.6331,0.0502,False
IM-0011-0001,0,0.8534,0.715,0.1384,False
IM-0013-0001,0,0.7396,0.688,0.0516,False
IM-0015-0001,0,0.7217,0.6699,0.0518,False
IM-0016-0001,0,0.7798,0.7287,0.0511,False
IM-0017-0001,0,0.6982,0.6187,0.0795,False
IM-0019-0001,0,0.7014,0.6325,0.0688,False
IM-0021-0001,0,0.7438,0.7145,0.0293,True
IM-0022-0001,0,0.6982,0.7187,-0.0206,True
IM-0023-0001,0,0.7768,0.7147,0.062,False
IM-0025-0001,0,0.7005,0.8112,-0.1107,True
IM-0027-0001,0,0.7038,0.6761,0.0277,True
IM-0028-0001,0,0.678,0.6435,0.0345,True
IM-0029-0001,0,0.7217,0.7119,0.0098,True
IM-0030-0001,0,0.8206,0.6943,0.1262,False
IM-0031-0001,0,0.7685,0.7106,0.0578,False
IM-0033-0001-0001,0,0.7373,0.6102,0.1271,False
IM-0033-0001-0002,0,0.7414,0.6807,0.0606,False
IM-0033-0001,0,0.8199,0.6864,0.1335,False
IM-0035-0001,0,0.7471,0.7733,-0.0262,True
IM-0036-0001,0,0.7823,0.7117,0.0706,False
IM-0037-0001,0,0.8338,0.7727,0.0611,False
IM-0039-0001,0,0.7352,0.6937,0.0414,False
IM-0041-0001,0,0.78,0.8192,-0.0393,True
IM-0043-0001,0,0.7211,0.6884,0.0327,True
IM-0045-0001,0,0.714,0.7364,-0.0224,True
IM-0046-0001,0,0.8132,0.7041,0.1091,False
IM-0049-0001,0,0.8154,0.641,0.1745,False
IM-0050-0001,0,0.6098,0.5849,0.0249,True
IM-0059-0001,0,0.687,0.6883,-0.0013,True
IM-0061-0001,0,0.6868,0.6129,0.0739,False
IM-0063-0001,0,0.74,0.6395,0.1004,False
IM-0065-0001,0,0.7295,0.5678,0.1617,False
IM-0067-0001,0,0.7737,0.5942,0.1795,False
IM-0069-0001,0,0.6652,0.5543,0.1108,False
IM-0070-0001,0,0.8088,0.7711,0.0377,True
IM-0071-0001,0,0.7511,0.5938,0.1573,False
IM-0073-0001,0,0.6307,0.5471,0.0837,False
IM-0075-0001,0,0.7203,0.6326,0.0877,False
IM-0077-0001,0,0.7939,0.7814,0.0124,True
IM-0079-0001,0,0.6496,0.6365,0.013,True
IM-0081-0001,0,0.6884,0.663,0.0255,True
